"latitude","longitude","acq_date","cluster"
-36.408195,147.895447,"1/1/2020",4
-36.402336,147.90451,"1/1/2020",4
-36.387585,147.888351,"1/1/2020",4
-36.340153,147.825089,"1/1/2020",4
-36.335163,147.820709,"1/1/2020",4
-36.393005,147.885971,"1/1/2020",4
-36.363667,147.849533,"1/1/2020",4
-36.363922,147.845413,"1/1/2020",4
-36.382336,147.888092,"1/1/2020",4
-36.36895,147.849533,"1/1/2020",4
-36.369946,147.99913,"1/1/2020",4
-36.373425,147.862274,"1/1/2020",4
-36.368683,147.853729,"1/1/2020",4
-36.353695,147.840088,"1/1/2020",4
-36.325047,147.970917,"1/1/2020",4
-36.330044,147.974564,"1/1/2020",4
-36.324577,147.970886,"1/1/2020",4
-36.358944,147.840591,"1/1/2020",4
-36.364197,147.841019,"1/1/2020",4
-36.343773,147.829559,"1/1/2020",4
-36.348728,147.835007,"1/1/2020",4
-36.339012,147.820923,"1/1/2020",4
-36.329594,147.974548,"1/1/2020",4
-36.334007,147.816254,"1/1/2020",4
-36.334259,147.812088,"1/1/2020",4
-36.334526,147.807663,"1/1/2020",4
-36.350033,147.835297,"1/1/2020",4
-36.345112,147.829971,"1/1/2020",4
-36.344807,147.834473,"1/1/2020",4
-36.335262,147.974884,"1/1/2020",4
-36.336002,147.808075,"1/1/2020",4
-36.294865,147.951721,"1/1/2020",4
-36.202198,147.6772,"1/1/2020",4
-36.242176,147.698318,"1/1/2020",4
-36.335426,147.816666,"1/1/2020",4
-36.335705,147.812515,"1/1/2020",4
-36.330765,147.807312,"1/1/2020",4
-36.314816,147.967133,"1/1/2020",4
-36.330479,147.811569,"1/1/2020",4
-36.315289,147.960037,"1/1/2020",4
-36.291809,147.754486,"1/1/2020",4
-36.295082,147.94838,"1/1/2020",4
-36.30106,147.775696,"1/1/2020",4
-36.289951,147.946625,"1/1/2020",4
-36.284809,147.945023,"1/1/2020",4
-36.289715,147.950256,"1/1/2020",4
-36.277756,147.724777,"1/1/2020",4
-36.258293,147.695618,"1/1/2020",4
-36.27729,147.7323,"1/1/2020",4
-36.292061,147.750565,"1/1/2020",4
-36.278038,147.720322,"1/1/2020",4
-36.262962,147.706268,"1/1/2020",4
-36.268284,147.706192,"1/1/2020",4
-36.267982,147.711075,"1/1/2020",4
-36.237576,147.68634,"1/1/2020",4
-36.20755,147.676727,"1/1/2020",4
-36.233418,147.68811,"1/1/2020",4
-36.24263,147.690765,"1/1/2020",4
-36.242401,147.694626,"1/1/2020",4
-36.243744,147.692917,"1/1/2020",4
-36.243259,147.700241,"1/1/2020",4
-36.243492,147.696671,"1/1/2020",4
-36.238678,147.689011,"1/1/2020",4
-36.202446,147.67334,"1/1/2020",4
-36.207298,147.68071,"1/1/2020",4
-36.233707,147.683762,"1/1/2020",4
-36.228462,147.682571,"1/1/2020",4
-36.228977,147.674713,"1/1/2020",4
-36.228176,147.686951,"1/1/2020",4
-36.228725,147.678482,"1/1/2020",4
-36.212662,147.680008,"1/1/2020",4
-36.223461,147.677658,"1/1/2020",4
-36.191334,147.68071,"1/1/2020",4
-36.151409,147.637466,"1/1/2020",4
-36.133892,147.921326,"1/1/2020",4
-36.151653,147.633392,"1/1/2020",4
-36.134102,147.917999,"1/1/2020",4
-36.134319,147.914597,"1/1/2020",4
-36.129509,147.907623,"1/1/2020",4
-36.134552,147.917664,"1/1/2020",4
-36.134323,147.92099,"1/1/2020",4
-36.134789,147.914261,"1/1/2020",4
-36.153606,147.637238,"1/1/2020",4
-36.153343,147.641159,"1/1/2020",4
-36.148247,147.637589,"1/1/2020",4
-36.129772,147.910858,"1/1/2020",4
-36.130013,147.907288,"1/1/2020",4
-36.148525,147.633377,"1/1/2020",4
-36.128281,147.616837,"1/1/2020",4
-36.12851,147.613327,"1/1/2020",4
-36.123211,147.612762,"1/1/2020",4
-36.122967,147.616501,"1/1/2020",4
-36.041626,147.810623,"1/1/2020",4
-36.061077,147.836502,"1/1/2020",4
-36.085876,147.612518,"1/1/2020",4
-36.060852,147.839996,"1/1/2020",4
-36.070023,147.861023,"1/1/2020",4
-36.064697,147.862122,"1/1/2020",4
-36.086105,147.608887,"1/1/2020",4
-36.085636,147.616318,"1/1/2020",4
-36.040817,147.823593,"1/1/2020",4
-36.051361,147.823578,"1/1/2020",4
-36.076824,147.586517,"1/1/2020",4
-36.056812,147.82074,"1/1/2020",4
-36.056343,147.82811,"1/1/2020",4
-36.051113,147.827484,"1/1/2020",4
-36.056572,147.824509,"1/1/2020",4
-36.046646,147.814789,"1/1/2020",4
-36.040493,147.828781,"1/1/2020",4
-36.051609,147.819595,"1/1/2020",4
